antecedents,consequents,support,confidence,lift
"annual_inc_Inc Mid(50-100k), dti_DTI Healthy(<20), grade_Grade A",int_rate_IntRate Low,0.064836,0.999568327577701,4.000321474905956
"dti_DTI Healthy(<20), grade_Grade A, purpose_debt_consolidation",int_rate_IntRate Low,0.06276,0.9995540549149519,4.0002643550095724
"grade_Grade A, revol_util_Util Excellent(<30)",int_rate_IntRate Low,0.080512,0.9995530615285296,4.0002603794283855
int_rate_IntRate Low,grade_Grade A,0.189204,0.7572036882884037,4.000188535640195
grade_Grade A,int_rate_IntRate Low,0.189204,0.9995351097774867,4.000188535640194
"grade_Grade A, loan_amnt_Loan Medium(10-25k)",int_rate_IntRate Low,0.084544,0.9995270973233708,4.000156469405819
"dti_DTI Healthy(<20), fico_range_low_FICO Good(670-739), grade_Grade A",int_rate_IntRate Low,0.083508,0.9995212333030115,4.000133001308716
"annual_inc_Inc Mid(50-100k), grade_Grade A","dti_DTI Healthy(<20), int_rate_IntRate Low",0.064836,0.694145860990964,4.000102926209368
"grade_Grade A, home_Home MORTGAGE, loan_amnt_Loan Small(<10k)",int_rate_IntRate Low,0.04044,0.9995056846267918,4.000070774743836
"annual_inc_Inc Mid(50-100k), grade_Grade A, loan_amnt_Loan Medium(10-25k)",int_rate_IntRate Low,0.046512,0.999484270242393,3.999985073327115
"grade_Grade A, revol_util_Util Moderate(30-60)",int_rate_IntRate Low,0.075324,0.9994692426092033,3.9999249320019983
"home_Home MORTGAGE, int_rate_IntRate Low, revol_util_Util Moderate(30-60)",grade_Grade A,0.042936,0.7571418494745009,3.999861850867976
int_rate_IntRate Low,"dti_DTI Healthy(<20), grade_Grade A",0.133708,0.5351059742588204,3.9997755655296636
"dti_DTI Healthy(<20), grade_Grade A",int_rate_IntRate Low,0.133708,0.9994319201100281,3.9997755655296636
"fico_range_low_FICO Good(670-739), grade_Grade A, home_Home RENT",int_rate_IntRate Low,0.04134,0.9994197853205687,3.9997270015070465
"grade_Grade A, loan_amnt_Loan Small(<10k)",int_rate_IntRate Low,0.081944,0.9994145770319056,3.9997061576803548
"dti_DTI Healthy(<20), grade_Grade A, revol_util_Util Excellent(<30)",int_rate_IntRate Low,0.060452,0.9994048406295464,3.999667192120551
"dti_DTI Healthy(<20), grade_Grade A, loan_amnt_Loan Medium(10-25k)",int_rate_IntRate Low,0.059104,0.9993912749408184,3.9996129015688764
"dti_DTI Healthy(<20), grade_Grade A, revol_util_Util Moderate(30-60)",int_rate_IntRate Low,0.051728,0.9993817619783617,3.9995748302265226
"annual_inc_Inc Low(<50k), grade_Grade A",int_rate_IntRate Low,0.043296,0.9993537069522667,3.999462552636016
"fico_range_low_FICO VeryGood(740-799), grade_Grade A",int_rate_IntRate Low,0.053792,0.999331203091328,3.999372491080745
"dti_DTI Healthy(<20), grade_Grade A, loan_amnt_Loan Small(<10k)",int_rate_IntRate Low,0.058632,0.9993182437960184,3.9993206273452744
"fico_range_low_FICO Good(670-739), grade_Grade A, loan_amnt_Loan Small(<10k)",int_rate_IntRate Low,0.051012,0.9992164851523937,3.998913384262317
"fico_range_low_FICO Good(670-739), grade_Grade A","home_Home MORTGAGE, int_rate_IntRate Low",0.066264,0.5501278517583768,3.9987196295747567
"grade_Grade A, home_Home RENT",int_rate_IntRate Low,0.061844,0.9991598810908622,3.998686852031689
"emp_length_Emp Short(0-3), grade_Grade A",int_rate_IntRate Low,0.059484,0.9990594558280148,3.9982849452040035
"dti_DTI Healthy(<20), grade_Grade A, home_Home RENT",int_rate_IntRate Low,0.044536,0.9989233805849632,3.997740365406941
"dti_DTI Healthy(<20), emp_length_Emp Short(0-3), grade_Grade A",int_rate_IntRate Low,0.04318,0.9987047830511612,3.9968655273546503
"grade_Grade A, purpose_credit_card","dti_DTI Healthy(<20), int_rate_IntRate Low",0.042364,0.6934459503699338,3.996069603127572
"fico_range_low_FICO Good(670-739), grade_Grade A","dti_DTI Healthy(<20), int_rate_IntRate Low",0.083508,0.6932886128914422,3.995162926096871
"fico_range_low_FICO Good(670-739), home_Home MORTGAGE, int_rate_IntRate Low",grade_Grade A,0.066264,0.7559550971981382,3.9935924243926753
"grade_Grade A, purpose_debt_consolidation","dti_DTI Healthy(<20), int_rate_IntRate Low",0.06276,0.6928069943038813,3.992387538343829
"int_rate_IntRate Low, loan_amnt_Loan Medium(10-25k)",grade_Grade A,0.084544,0.7553427203202058,3.99035733322172
"annual_inc_Inc Mid(50-100k), grade_Grade A","fico_range_low_FICO Good(670-739), int_rate_IntRate Low",0.059728,0.6394586955590768,3.989037675660475
"annual_inc_Inc Mid(50-100k), int_rate_IntRate Low",grade_Grade A,0.093364,0.7550789337474121,3.988963790056696
"fico_range_low_FICO Good(670-739), int_rate_IntRate Low, revol_util_Util Moderate(30-60)",grade_Grade A,0.058296,0.7550512900217594,3.98881775258204
"dti_DTI Healthy(<20), int_rate_IntRate Low, purpose_debt_consolidation",grade_Grade A,0.06276,0.7544357359234505,3.9855658766532684
"emp_length_Emp Long(8+), int_rate_IntRate Low",grade_Grade A,0.0792,0.7542569806864501,3.9846215407225354
"fico_range_low_FICO Good(670-739), int_rate_IntRate Low, loan_amnt_Loan Small(<10k)",grade_Grade A,0.051012,0.7539462015962164,3.9829797434451346
"emp_length_Emp Long(8+), grade_Grade A","fico_range_low_FICO Good(670-739), int_rate_IntRate Low",0.050552,0.6381861334141291,3.9810992452722895
"annual_inc_Inc Mid(50-100k), fico_range_low_FICO Good(670-739), int_rate_IntRate Low",grade_Grade A,0.059728,0.7525451063400868,3.975577976565765
"int_rate_IntRate Low, loan_amnt_Loan Small(<10k)",grade_Grade A,0.081944,0.75200058732839,3.9727013678781464
"home_Home MORTGAGE, int_rate_IntRate Low, purpose_debt_consolidation",grade_Grade A,0.050716,0.7514817449027974,3.969960404574929
"dti_DTI Healthy(<20), int_rate_IntRate Low, revol_util_Util Moderate(30-60)",grade_Grade A,0.051728,0.7513362770160353,3.9691919205039587
grade_Grade A,"fico_range_low_FICO Good(670-739), int_rate_IntRate Low",0.120408,0.6360966126407879,3.968064506442683
"fico_range_low_FICO Good(670-739), int_rate_IntRate Low",grade_Grade A,0.120408,0.7511228665535482,3.9680645064426825
"home_Home RENT, int_rate_IntRate Low","dti_DTI Healthy(<20), grade_Grade A",0.044536,0.5304683405593406,3.965110480770052
"annual_inc_Inc Mid(50-100k), int_rate_IntRate Low, loan_amnt_Loan Medium(10-25k)",grade_Grade A,0.046512,0.7500483777333419,3.962388150230025
"grade_Grade A, revol_util_Util Moderate(30-60)","dti_DTI Healthy(<20), int_rate_IntRate Low",0.051728,0.6863754577782496,3.9553249992983983
"annual_inc_Inc Mid(50-100k), emp_length_Emp Long(8+), int_rate_IntRate Low",grade_Grade A,0.04098,0.7474828542244273,3.9488348911968143
"emp_length_Emp Long(8+), fico_range_low_FICO Good(670-739), int_rate_IntRate Low",grade_Grade A,0.050552,0.7474568251715165,3.948697383785456
"int_rate_IntRate Low, loan_amnt_Loan Medium(10-25k)","dti_DTI Healthy(<20), grade_Grade A",0.059104,0.5280537488385391,3.9470620465716313
"dti_DTI Healthy(<20), home_Home RENT, int_rate_IntRate Low",grade_Grade A,0.044536,0.7470978997517278,3.9468012369869188
"fico_range_low_FICO Good(670-739), int_rate_IntRate Low, loan_amnt_Loan Medium(10-25k)",grade_Grade A,0.055136,0.7462912831618841,3.942540007828562
"fico_range_low_FICO Good(670-739), home_Home RENT, int_rate_IntRate Low",grade_Grade A,0.04134,0.7450796626054359,3.9361392061230056
"grade_Grade D, loan_amnt_Loan Medium(10-25k)","int_rate_IntRate Very High, purpose_debt_consolidation",0.043212,0.6028123430612131,3.930803770711372
"int_rate_IntRate Low, loan_amnt_Loan Medium(10-25k), purpose_debt_consolidation",grade_Grade A,0.044264,0.743432986227746,3.92744007262719
"annual_inc_Inc Mid(50-100k), int_rate_IntRate Low","dti_DTI Healthy(<20), grade_Grade A",0.064836,0.5243594720496895,3.9194483051014286
"emp_length_Emp Long(8+), int_rate_IntRate Low","dti_DTI Healthy(<20), grade_Grade A",0.054996,0.5237514761342426,3.914903696512607
"int_rate_IntRate Low, purpose_debt_consolidation",grade_Grade A,0.090556,0.7404899748143787,3.911892604095148
"int_rate_IntRate Low, revol_util_Util Moderate(30-60)",grade_Grade A,0.075324,0.7400668107683239,3.909657094691397
"grade_Grade A, home_Home MORTGAGE","fico_range_low_FICO Good(670-739), int_rate_IntRate Low",0.066264,0.6257223796033995,3.9033485103515786
"annual_inc_Inc Mid(50-100k), int_rate_IntRate Low, purpose_debt_consolidation",grade_Grade A,0.045312,0.7378362535009444,3.897873409869115
"dti_DTI Healthy(<20), grade_Grade A","fico_range_low_FICO Good(670-739), int_rate_IntRate Low",0.083508,0.6242002033128028,3.8938529500998276
"fico_range_low_FICO Good(670-739), int_rate_IntRate Low","dti_DTI Healthy(<20), grade_Grade A",0.083508,0.5209352230761553,3.8938529500998276
"home_Home RENT, int_rate_IntRate Low",grade_Grade A,0.061844,0.7366239458764114,3.8914689784904355
"grade_Grade A, loan_amnt_Loan Small(<10k)","fico_range_low_FICO Good(670-739), int_rate_IntRate Low",0.051012,0.6221582593423749,3.881115002385311
"grade_Grade A, revol_util_Util Excellent(<30)","home_Home MORTGAGE, int_rate_IntRate Low",0.0429,0.5326016785022596,3.871326964748645
"fico_range_low_FICO Good(670-739), int_rate_IntRate Low, purpose_debt_consolidation",grade_Grade A,0.058308,0.7310431293881645,3.8619863987287606
"annual_inc_Inc Low(<50k), int_rate_IntRate Low",grade_Grade A,0.043296,0.7263454569856396,3.8371693309048434
"int_rate_IntRate Low, purpose_debt_consolidation","dti_DTI Healthy(<20), grade_Grade A",0.06276,0.5131979197330978,3.8360186549445214
"dti_DTI Manageable(20-35), int_rate_IntRate Low",grade_Grade A,0.052364,0.7250623096095264,3.830390664209404
"int_rate_IntRate Low, revol_util_Util Moderate(30-60)","dti_DTI Healthy(<20), grade_Grade A",0.051728,0.508233444684614,3.7989105175851674
"annual_inc_Inc Low(<50k), int_rate_IntRate Very High",grade_Grade D,0.048856,0.5465366028279935,3.794023011329197
"int_rate_IntRate Very High, revol_util_Util Moderate(30-60)",grade_Grade D,0.049432,0.5402640552592463,3.7504793773029617
"dti_DTI Healthy(<20), int_rate_IntRate Very High",grade_Grade D,0.063848,0.5380751727625147,3.7352842915233015
"emp_length_Emp Long(8+), int_rate_IntRate High","grade_Grade C, home_Home MORTGAGE",0.051736,0.5073549601851489,3.7187387136826326
"home_Home RENT, int_rate_IntRate Very High",grade_Grade D,0.056636,0.5337379372738239,3.7051754732584334
grade_Grade D,"fico_range_low_FICO Good(670-739), int_rate_IntRate Very High",0.078916,0.5478299502957265,3.6977560228395596
"fico_range_low_FICO Good(670-739), int_rate_IntRate Very High",grade_Grade D,0.078916,0.5326691506020843,3.6977560228395596
"dti_DTI Manageable(20-35), grade_Grade D",int_rate_IntRate Very High,0.058232,0.9053482587064676,3.691562250075302
"emp_length_Emp Long(8+), int_rate_IntRate Very High",grade_Grade D,0.051716,0.5304640380749189,3.6824482692008362
"fico_range_low_FICO Good(670-739), grade_Grade D",int_rate_IntRate Very High,0.078916,0.9026811859443631,3.6806872469678167
"grade_Grade D, revol_util_Util Moderate(30-60)",int_rate_IntRate Very High,0.049432,0.9022413667226399,3.678893881795733
int_rate_IntRate Very High,grade_Grade D,0.129916,0.5297331680584552,3.677374615128253
grade_Grade D,int_rate_IntRate Very High,0.129916,0.9018687696109737,3.6773746151282527
"emp_length_Emp Long(8+), grade_Grade D",int_rate_IntRate Very High,0.051716,0.90085005574136,3.6732208040080248
"grade_Grade D, purpose_debt_consolidation",int_rate_IntRate Very High,0.08028,0.9008078994614004,3.673048911556467
"grade_Grade D, home_Home MORTGAGE",int_rate_IntRate Very High,0.058104,0.9005021387390739,3.6718021706153525
"fico_range_low_FICO Fair(<670), grade_Grade D",int_rate_IntRate Very High,0.0485,0.9003490012623451,3.671177751754734
"fico_range_low_FICO Good(670-739), grade_Grade D, purpose_debt_consolidation",int_rate_IntRate Very High,0.048352,0.9003426187993445,3.6711517272285383
"emp_length_Emp Short(0-3), grade_Grade D",int_rate_IntRate Very High,0.041492,0.9000433839479393,3.669931595560165
"grade_Grade D, home_Home RENT",int_rate_IntRate Very High,0.056636,0.8991553946783514,3.6663108146788206
"annual_inc_Inc Low(<50k), grade_Grade D",int_rate_IntRate Very High,0.048856,0.8991460541813898,3.66627272875371
"annual_inc_Inc Mid(50-100k), grade_Grade D",int_rate_IntRate Very High,0.060852,0.8990603392234503,3.6659232255653476
"grade_Grade D, loan_amnt_Loan Medium(10-25k)",int_rate_IntRate Very High,0.064448,0.8990569722671727,3.6659094967835526
"grade_Grade D, loan_amnt_Loan Medium(10-25k), purpose_debt_consolidation",int_rate_IntRate Very High,0.043212,0.8987520798668885,3.6646662964300973
"emp_length_Emp Short(0-3), int_rate_IntRate Very High",grade_Grade D,0.041492,0.5275926962006001,3.6625155929844784
"grade_Grade D, purpose_debt_consolidation","fico_range_low_FICO Good(670-739), int_rate_IntRate Very High",0.048352,0.5425493716337522,3.6621130435886937
"dti_DTI Healthy(<20), grade_Grade D",int_rate_IntRate Very High,0.063848,0.8978512768590393,3.6609932674641152
"grade_Grade D, revol_util_Util High(60-90)",int_rate_IntRate Very High,0.050784,0.8968635207685788,3.656965686849959
"int_rate_IntRate Very High, revol_util_Util High(60-90)",grade_Grade D,0.050784,0.5255401937246461,3.6482672488035295
"fico_range_low_FICO Fair(<670), int_rate_IntRate Very High",grade_Grade D,0.0485,0.5253238594514968,3.64676546977131
"dti_DTI Manageable(20-35), int_rate_IntRate Very High",grade_Grade D,0.058232,0.5251235436280345,3.645374889817805
"fico_range_low_FICO Good(670-739), int_rate_IntRate Very High, purpose_debt_consolidation",grade_Grade D,0.048352,0.5250401772140902,3.6447961653714644
"grade_Grade D, loan_amnt_Loan Small(<10k)",int_rate_IntRate Very High,0.044564,0.8936392075078206,3.6438185327008603
"int_rate_IntRate Very High, purpose_debt_consolidation",grade_Grade D,0.08028,0.5234878322334959,3.634019883330297
grade_Grade D,"int_rate_IntRate Very High, purpose_debt_consolidation",0.08028,0.5572987532280009,3.6340198833302964
"home_Home MORTGAGE, int_rate_IntRate Very High",grade_Grade D,0.058104,0.523289743866854,3.63264476624312
"annual_inc_Inc Mid(50-100k), int_rate_IntRate Very High",grade_Grade D,0.060852,0.5217257107582565,3.6217873459463
"fico_range_low_FICO Good(670-739), grade_Grade D","int_rate_IntRate Very High, purpose_debt_consolidation",0.048352,0.5530746705710102,3.606475589941119
"int_rate_IntRate Very High, loan_amnt_Loan Medium(10-25k)",grade_Grade D,0.064448,0.5114920634920636,3.550746004859797
"int_rate_IntRate Very High, loan_amnt_Loan Medium(10-25k), purpose_debt_consolidation",grade_Grade D,0.043212,0.5084003953127206,3.5292838371749133
"emp_length_Emp Long(8+), int_rate_IntRate Medium","grade_Grade B, home_Home MORTGAGE",0.0513,0.5060369318181819,3.467336319534766
"fico_range_low_FICO Fair(<670), int_rate_IntRate High","dti_DTI Healthy(<20), grade_Grade C",0.041304,0.5381768906030124,3.366635538253256
"int_rate_IntRate High, loan_amnt_Loan Medium(10-25k)","grade_Grade C, purpose_debt_consolidation",0.067724,0.5581709689117463,3.2620974408662735
